stock_code,company_name,industry,address,market_type,market_cap_recent
A0041L0,하나35호스팩,N40200.다각화된 금융,(07321) 서울시 영등포구 의사당대로 82,코스닥,12029850000
A004250,NPC,N15101.화학,(16826) 경기 용인시 수지구 신수로 785-17,코스피,146696400000
A004270,남성,N20107.무역회사와 판매업체,"(08589) 서울시 금천구 디지털로 130, 15층 (가산동,남성프라자)",코스피,31613215680
A004310,현대약품,N35202.제약,(31213) 충남 천안시 동남구 풍세면 잔다리길 55,코스피,120640000000
A004360,세방,N20303.해운회사,(48480) 부산시 남구 우암로 127,코스피,260927980950
A004370,농심,N30202.식품,(07057) 서울시 동작구 여의대방로 112,코스피,2569916245000
A004380,삼익THK,N20106.기계,(42721) 대구시 달서구 성서동로 163,코스피,209160000000
A0043B0,TIGER 머니마켓액티브,,,코스피,3022530750000
A0043Y0,TIMEFOLIO 차이나AI테크액티브,,,코스피,178332000000
A004410,서울식품,N30202.식품,(27333) 충북 충주시 충원대로 862,코스피,58136095264
A004430,송원산업,N15101.화학,(44781) 울산시 남구 장생포로 83,코스피,231120000000
A004440,삼일씨엔에스,N15102.건축자재,"(18468) 경기 화성시 동탄대로23길 121, 21층 (영천동,동탄우미뉴브)",코스피,56593504415
A004450,삼화왕관,N15104.금속과 채광,(15601) 경기 안산시 단원구 강촌로 140,코스피,72063977550
A004490,세방전지,N25101.자동차 부품,(06212) 서울시 강남구 선릉로 433,코스피,837200000000
A0044K0,삼성스팩10호,N40200.다각화된 금융,"(06620) 서울시 서초구 서초대로74길 11 (서초동,삼성전자빌딩)",코스닥,14994880000
A004540,깨끗한나라,N15105.종이와 임산물,(04418) 서울시 용산구 한남대로 98,코스피,73401405903
A004560,현대비앤지스틸,N15104.금속과 채광,(51707) 경남 창원시 성산구 적현로 124,코스피,168731895090
A004590,한국가구,N30301.가정용품,(06111) 서울시 강남구 학동로 120,코스닥,74775000000
A004650,창해에탄올,N30201.음료,(54854) 전북 전주시 덕진구 원만성로 15,코스닥,93287482750
A004690,삼천리,N55102.가스 유틸리티,(07328) 서울시 영등포구 국제금융로6길 42,코스피,537696315000
A0046A0,TIGER 미국초단기(3개월이하)국채,,,코스피,137158000000
A0046Y0,ACE 미국배당퀄리티,,,코스피,42228000000
A004700,조광피혁,"N25203.섬유, 의류, 사치품","(28577) 충북 청주시 흥덕구 공단로126번길 97, 청주공업단지 제2부럭",코스피,459455435800
A004710,한솔테크닉스,"N45202.기술하드웨어, 스토리지 & 주변기기",(04551) 서울시 중구 을지로 100,코스피,201007836280
A004720,팜젠사이언스,N35202.제약,(18622) 경기 화성시 향남읍 제약공단2길 50,코스피,77343052710
